GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
Total national emissions and removals,565670.0399673455,3448.0306923570392,84.13912809202536,9521.972974739243,362.03979637913653,0.03715701028218
1. Energy,531156.247797999,458.1738269887002,10.13175071932281,,,
A. Fuel combustion     Reference approach(2),527401.9000583675,,,,,
                                           Sectoral approach(2),525926.5192912907,52.55840057039441,10.00256935384755,,,
1.  Energy industries,219820.61498148125,12.15343723647459,4.1333343351548,,,
2.  Manufacturing industries and construction                          ,63250.505277016346,2.89961256764717,0.80632351268472,,,
3.  Transport,131430.92442351562,14.26299441391264,4.26452525436126,,,
4.  Other sectors,107950.81847497495,23.14744669571742,0.67582313467796,,,
5.  Other,3473.656134302542,0.09490965664259,0.12256311696881,,,
B. Fugitive emissions from fuels,5229.728506708197,405.6154264183058,0.12918136547526,,,
1.  Solid fuels,190.86835144793253,139.90052844194332,0.00015648552,,,
2.  Oil and natural gas and other emissions from energy production,5038.860155260264,265.71489797636247,0.12902487995526,,,
2.  Industrial processes and product use,36537.47656932215,5.44668113687737,10.45477653350334,9521.972974739243,362.03979637913653,0.03715701028218
A.  Mineral industry,9026.264373546564,,,,,
B.  Chemical industry,5952.015142199488,3.43501293396053,7.63861019339605,393.65208525,111.9658918176859,
C.  Metal industry,21037.654038338864,1.17679210566445,0.05278889856645,,133.11553090574344,0.012011154
D.  Non-energy products from fuels and solvent use ,521.5430152372323,,,,,
E.  Electronic industry ,,,,18.78715774976547,,
F.  Product uses as substitutes for ODS,,,,9109.533731739477,2.28425379747406,
G.  Other product manufacture and use ,,,2.76337744154084,,114.67411985823314,0.02514585628218
H.  Other(3),,0.83487609725239,,,,
