GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),35626.32504314897,,,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
                                           Sectoral approach(2),35626.416519049955,12.6834996227707,1.76332580863299,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
1.  Energy industries,14674.02945974785,0.37135239434124,0.26074201220182,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4467.767335786332,0.26045034902252,0.04245614551732,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
3.  Transport,7347.914594689955,1.75591405310899,1.1077023913117,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
4.  Other sectors,9136.705128825817,10.29578282629795,0.35242525960215,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
B. Fugitive emissions from fuels,0.01779507579439,3.71058578924258,,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
1.  Solid fuels,,1.2056583,,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.01779507579439,2.50492748924258,,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
A.  Mineral industry,1384.9248481927566,,,,,,Summary1.As1,IRELAND,1997,Subsector,1. Energy
