GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),30797.61718790379,,,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
                                           Sectoral approach(2),31135.128519583363,17.07677938827313,0.95856354687249,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
1.  Energy industries,12282.23665026876,0.29075670116849,0.24160392006231,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4013.713850267546,0.24122925191971,0.03862028472523,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
3.  Transport,5583.611504289904,1.93026685916052,0.33294500082211,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
4.  Other sectors,9255.566514757154,14.61452657602441,0.34539434126284,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,0.00696373415102,3.81974498991911,,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
1.  Solid fuels,,1.505062597222,,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.00696373415102,2.31468239269711,,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
A.  Mineral industry,951.1259375087088,,,,,,Summary1.As1,IRELAND,1993,Subsector,1. Energy
