GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year,Level,Parent_Sector
Total national emissions and removals,473376.85676559666,2366.788999797462,74.5133580379318,13176.893651548758,274.1761522509474,0.02019341537578,2013,Subsector,Indirect CO2
1. Energy,447132.9217394318,340.85998083563913,8.65113595789591,,,,2013,Subsector,Indirect CO2
A. Fuel combustion     Reference approach(2),443099.1838165428,,,,,,2013,Subsector,Indirect CO2
                                           Sectoral approach(2),442915.844922511,43.58338491914937,8.53298281723013,,,,2013,Subsector,Indirect CO2
1.  Energy industries,177979.29632870684,11.29309732598529,3.72360344359576,,,,2013,Subsector,Indirect CO2
2.  Manufacturing industries and construction                          ,44074.61077829347,2.93709576143621,0.60416914627232,,,,2013,Subsector,Indirect CO2
3.  Transport,117304.19401315339,5.3177159910776,3.46947022005815,,,,2013,Subsector,Indirect CO2
4.  Other sectors,101269.04804247404,23.97544059608405,0.65337170329169,,,,2013,Subsector,Indirect CO2
5.  Other,2288.6957598833087,0.06003524456622,0.08236830401221,,,,2013,Subsector,Indirect CO2
B. Fugitive emissions from fuels,4217.076816920779,297.2765959164898,0.11815314066578,,,,2013,Subsector,Indirect CO2
1.  Solid fuels,278.37576780473466,68.18105482585328,0.00012607164,,,,2013,Subsector,Indirect CO2
2.  Oil and natural gas and other emissions from energy production,3938.701049116044,229.0955410906365,0.11802706902578,,,,2013,Subsector,Indirect CO2
2.  Industrial processes and product use,30319.639452665302,5.21360768406689,2.93340495673303,13176.893651548758,274.1761522509474,0.02019341537578,2013,Subsector,Indirect CO2
A.  Mineral industry,6626.593302489256,,,,,,2013,Subsector,Indirect CO2
B.  Chemical industry,4921.8576534697695,4.24299700342183,0.15047638692308,30.6688,175.0577832387625,,2013,Subsector,Indirect CO2
C.  Metal industry,18042.610731102377,0.78989788719205,0.0442647292792,2.37562,6.25175670580764,0.00453815,2013,Subsector,Indirect CO2
D.  Non-energy products from fuels and solvent use ,728.5777656039002,,,,,,2013,Subsector,Indirect CO2
E.  Electronic industry ,,,,25.52903845255556,,,2013,Subsector,Indirect CO2
F.  Product uses as substitutes for ODS,,,,13118.320193096202,,,2013,Subsector,Indirect CO2
G.  Other product manufacture and use ,,,2.73866384053075,,92.86661230637723,0.01565526537578,2013,Subsector,Indirect CO2
H.  Other(3),,0.18071279345301,,,,,2013,Subsector,Indirect CO2
