GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total national emissions and removals,Total,Total national emissions and removals,417899.521751107,2248.850292344083,75.76462361336294,13349.290500012065,257.22316213203703,0.01778316379032,2015
1. Energy,Total national emissions and removals,Energy,1. Energy,393879.784168174,306.3086194036188,8.48806159270164,,,,2015
A. Fuel combustion     Reference approach(2),Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),391069.896690627,,,,,,2015
                                           Sectoral approach(2),Total national emissions and removals,Energy,                                           Sectoral approach(2),389238.55229575833,44.18927413111785,8.36858189811008,,,,2015
1.  Energy industries,Total national emissions and removals,Energy,1.  Energy industries,133730.07392915373,13.35231848898785,3.21683359354823,,,,2015
2.  Manufacturing industries and construction                          ,Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,42027.65315585013,3.52305880415162,0.69827351023728,,,,2015
3.  Transport,Total national emissions and removals,Energy,3.  Transport,121508.4558689914,4.58615772312053,3.74059801228403,,,,2015
4.  Other sectors,Total national emissions and removals,Energy,4.  Other sectors,90310.43505520851,22.68350291273241,0.65409332819317,,,,2015
5.  Other,Total national emissions and removals,Energy,5.  Other,1661.934286554562,0.04423620212544,0.05878345384737,,,,2015
B. Fugitive emissions from fuels,Total national emissions and removals,Energy,B. Fugitive emissions from fuels,4641.231872415691,262.11934527250094,0.11947969459156,,,,2015
1.  Solid fuels,Total national emissions and removals,Energy,1.  Solid fuels,451.8412692934965,55.38099705620685,0.00024887736,,,,2015
2.  Oil and natural gas and other emissions from energy production,Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,4189.390603122195,206.7383482162941,0.11923081723156,,,,2015
2.  Industrial processes and product use,Total national emissions and removals,Industrial processes and product use,2.  Industrial processes and product use,28209.289972096725,3.35925533039012,2.87991358919633,13349.290500012065,257.22316213203703,0.01778316379032,2015
A.  Mineral industry,Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,6667.86394454929,,,,,,2015
B.  Chemical industry,Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,4727.754139532278,2.40045115128923,0.10399393246879,2.0212,159.06265583623554,,2015
C.  Metal industry,Total national emissions and removals,Industrial processes and product use,C.  Metal industry,16325.3921200807,0.75507188326892,0.03908937946758,2.07714,10.1334042645381,0.00348365,2015
D.  Non-energy products from fuels and solvent use ,Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,488.2797679344568,,,,,,2015
E.  Electronic industry ,Total national emissions and removals,Industrial processes and product use,E.  Electronic industry ,,,,25.24792884911776,,,2015
F.  Product uses as substitutes for ODS,Total national emissions and removals,Industrial processes and product use,F.  Product uses as substitutes for ODS,,,,13319.944231162948,,,2015
G.  Other product manufacture and use ,Total national emissions and removals,Industrial processes and product use,G.  Other product manufacture and use ,,,2.73683027725996,,88.02710203126342,0.01429951379032,2015
H.  Other(3),Total national emissions and removals,Industrial processes and product use,H.  Other(3),,0.20373229583197,,,,,2015
