GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total national emissions and removals,Total,Total national emissions and removals,361714.4349767572,2157.8937431545505,75.10587532536039,12333.145978974675,200.8581765675987,0.02085786004888,2019
1. Energy,Total national emissions and removals,Energy,1. Energy,343406.46181272925,255.9547731868476,7.95155826730183,,,,2019
A. Fuel combustion     Reference approach(2),Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),338050.27984242694,,,,,,2019
                                           Sectoral approach(2),Total national emissions and removals,Energy,                                           Sectoral approach(2),339123.05732153676,48.03738405558216,7.82749956491882,,,,2019
1.  Energy industries,Total national emissions and removals,Energy,1.  Energy industries,86446.96075571397,15.62069573098977,2.41044881847036,,,,2019
2.  Manufacturing industries and construction                          ,Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,42027.41553413392,4.25107863049819,0.79538594079001,,,,2019
3.  Transport,Total national emissions and removals,Energy,3.  Transport,120750.87501428394,3.85794933307986,3.92395050577274,,,,2019
4.  Other sectors,Total national emissions and removals,Energy,4.  Other sectors,88265.12584558982,24.2646229946712,0.6397458814187,,,,2019
5.  Other,Total national emissions and removals,Energy,5.  Other,1632.6801718150687,0.04303736634314,0.05796841846701,,,,2019
B. Fugitive emissions from fuels,Total national emissions and removals,Energy,B. Fugitive emissions from fuels,4283.404491192525,207.91738913126542,0.12405870238301,,,,2019
1.  Solid fuels,Total national emissions and removals,Energy,1.  Solid fuels,163.11390127287888,19.55890796246231,5.243292e-05,,,,2019
2.  Oil and natural gas and other emissions from energy production,Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,4120.290589919646,188.3584811688031,0.12400626946301,,,,2019
2.  Industrial processes and product use,Total national emissions and removals,Industrial processes and product use,2.  Industrial processes and product use,21788.280982000786,3.39210151592931,3.0387149052973,12333.145978974675,200.8581765675987,0.02085786004888,2019
A.  Mineral industry,Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,6329.854369980611,,,,,,2019
B.  Chemical industry,Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,4378.767721457266,2.73577096868541,0.13368002575918,,119.07483732991963,,2019
C.  Metal industry,Total national emissions and removals,Industrial processes and product use,C.  Metal industry,10607.167470239687,0.44258336078888,0.02424358879889,2.21156,5.61767666357696,0.00336585,2019
D.  Non-energy products from fuels and solvent use ,Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,472.49142032322237,,,,,,2019
E.  Electronic industry ,Total national emissions and removals,Industrial processes and product use,E.  Electronic industry ,,,,21.65901242478677,,,2019
F.  Product uses as substitutes for ODS,Total national emissions and removals,Industrial processes and product use,F.  Product uses as substitutes for ODS,,,,12309.275406549888,,,2019
G.  Other product manufacture and use ,Total national emissions and removals,Industrial processes and product use,G.  Other product manufacture and use ,,,2.88079129073923,,76.16566257410209,0.01749201004888,2019
H.  Other(3),Total national emissions and removals,Industrial processes and product use,H.  Other(3),,0.21374718645502,,,,,2019
