GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),219.54385146227804,,,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
                                           Sectoral approach(2),219.29746900599736,0.02655552820927,0.00362840930353,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
1.  Energy industries,2.807244,0.00140117536512,0.00028032550272,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,36.23983570651013,0.00062439774907,0.00029107085659,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
3.  Transport,87.09318265012296,0.01055443463257,0.00178015034318,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
4.  Other sectors,93.15720664936426,0.01397552046251,0.00127686260104,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
B. Fugitive emissions from fuels,0.00036602616343,0.04656040504628,,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.00036602616343,0.04656040504628,,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,0.17990523914184,,,,,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,7.9163032190913,0.06474732169437,,Summary1.As1,LIECHTENSTEIN,2008,Subsector,1. Energy
