GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),204.03857632793805,,,,,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
                                           Sectoral approach(2),203.98380946040004,0.02827624713367,0.00600364834622,,,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
1.  Energy industries,1.999404,0.00099287582976,0.00019033635456,,,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,35.59513230166215,0.0006285716857,0.00025706272911,,,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
3.  Transport,80.30344349003042,0.01651069993998,0.00472502630745,,,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
4.  Other sectors,86.08582966870748,0.01014409967823,0.0008312229551,,,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,0.00018873022216,0.0240074521062,,,,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.00018873022216,0.0240074521062,,,,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,0.15880477356376,,,,,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,1.07061959552763,0.00134634112724,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy
