GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year
Total national emissions and removals,Total,Total National Emissions,Total national emissions and removals,588829.4196382763,5118.021418224986,134.90755768124126,16429.438360306707,531.936901170432,0.0569484059461,1996
1. Energy,1. Energy,Other Energy,1. Energy,541713.8072169732,1092.480142700472,12.03927681650904,,,,1996
A. Fuel combustion     Reference approach(2),1. Energy,1.A Fuel Combustion,1.A Reference Approach,532342.6453999433,,,,,,1996
                                           Sectoral approach(2),1. Energy,1.A Fuel Combustion,1.A Sectoral Approach,533006.9536396476,102.83639204279996,11.83076103718221,,,,1996
1.  Energy industries,Uncategorized,Uncategorized,1.  Energy industries,203508.58313422962,10.77519935349093,3.83759385921644,,,,1996
2.  Manufacturing industries and construction                          ,2. Industrial Processes,Other Industrial,2.  Manufacturing industries and construction,70083.26340757462,3.63383085802241,0.89940227465614,,,,1996
3.  Transport,3. Agriculture,Other Agriculture,3.  Transport,127482.35530465136,38.73197386943333,5.86692623929426,,,,1996
4.  Other sectors,4. LULUCF,Other LULUCF,4.  Other sectors,128120.73624566931,49.59593292112566,1.08925004733358,,,,1996
5.  Other,5. Waste,Other Waste,5.  Other,3812.01554752272,0.09945504072763,0.13758861668179,,,,1996
B. Fugitive emissions from fuels,Uncategorized,Uncategorized,B. Fugitive emissions from fuels,8706.853577325543,989.6437506576721,0.20851577932683,,,,1996
1.  Solid fuels,1. Energy,Other Energy,1.  Solid fuels,553.7547359513629,557.6112341454902,9.5904e-05,,,,1996
2.  Oil and natural gas and other emissions from energy production,1. Energy,Other Energy,2.  Oil and natural gas and other emissions from energy production,8153.098841374179,432.0325165121818,0.20841987532683,,,,1996
2.  Industrial processes and product use,2. Industrial Processes,Other Industrial,2.  Industrial processes and product use,44306.04709860317,10.75526359608273,49.69819594434083,16429.438360306707,531.936901170432,0.0569484059461,1996
A.  Mineral industry,Uncategorized,Uncategorized,A.  Mineral industry,9469.175308820691,,,,,,1996
B.  Chemical industry,Uncategorized,Uncategorized,B.  Chemical industry,7746.86299672833,8.36371607462383,47.66342620378469,15164.017129215465,87.9241433333333,,1996
C.  Metal industry,Uncategorized,Uncategorized,C.  Metal industry,25042.711563355217,1.62068806762891,0.06894100960001,,295.4262339726769,0.01698125,1996
D.  Non-energy products from fuels and solvent use ,1. Energy,Other Energy,D.  Non-energy products from fuels and solvent use,2047.2972296989342,,,,,,1996
E.  Electronic industry ,Uncategorized,Uncategorized,E.  Electronic industry,,,,12.8444337684462,,,1996
F.  Product uses as substitutes for ODS,Uncategorized,Uncategorized,F.  Product uses as substitutes for ODS,,,,1252.5767973227958,1.29051328501919,,1996
G.  Other product manufacture and use ,6. Other,Other,G.  Other product manufacture and use,,,1.96582873095613,,147.29601057940246,0.0399671559461,1996
H.  Other(3),6. Other,Other,H.  Other(3),,0.77085945382999,,,,,1996
